Cam_typ	Clvt_sz	Site	Type	Cam_num	Cam_pt	Anim_num	Species	Behaviour	Day	Month	Year	Hour	Min	Sec	Age	Sex	Img_num
swift	large	4	C	SE51	C4	42	Kangaroo	FR	22	10	2020	11	10	31	Juvenile	Unknown	SYER7796
swift	large	4	C	SE51	C4	42	Kangaroo	FR	22	10	2020	11	11	22	Juvenile	Unknown	SYER7802
swift	large	4	R	SE57	R1	43	Kangaroo	FR	17	10	2020	18	41	46	Juvenile	Unknown	SYER3401
swift	large	4	R	SE57	R1	43	Kangaroo	SS	17	10	2020	18	41	55	Juvenile	Unknown	SYER3404
swift	large	4	R	SE57	R1	43	Kangaroo	SS	17	10	2020	18	42	7	Juvenile	Unknown	SYER3407
swift	large	4	R	SE57	R1	43	Kangaroo	SS	17	10	2020	18	42	13	Juvenile	Unknown	SYER3410
swift	large	4	R	SE57	R1	44	Hare	FR	19	10	2020	22	49	54	Adult	Unknown	SYER5216
swift	large	4	R	SE57	R1	45	Fox	FR	22	10	2020	1	4	46	Adult	Unknown	SYER6366
swift	large	4	R	SE57	R1	46	Kangaroo	FR	22	10	2020	11	7	7	Adult	Unknown	SYER6440
swift	large	4	R	SE57	R1	46	Kangaroo	FR	22	10	2020	11	8	51	Adult	Unknown	SYER6443
